OSNR,Max Depth,Min Samples Split,log10(BER)
18.0,4.0,20.0,-1.3390597944915328
18.0,4.0,40.0,-1.3390597944915328
18.0,4.0,80.0,-1.3390597944915328
18.0,4.0,160.0,-1.3390597944915328
18.0,4.0,320.0,-1.3390597944915328
18.0,5.0,20.0,-1.3390597944915328
18.0,5.0,40.0,-1.3390597944915328
18.0,5.0,80.0,-1.3390597944915328
18.0,5.0,160.0,-1.3390597944915328
18.0,5.0,320.0,-1.3390597944915328
18.0,6.0,20.0,-1.3407504011268394
18.0,6.0,40.0,-1.3407504011268394
18.0,6.0,80.0,-1.3407504011268394
18.0,6.0,160.0,-1.3407504011268394
18.0,6.0,320.0,-1.3407504011268394
18.0,7.0,20.0,-1.3386789537062982
18.0,7.0,40.0,-1.3386789537062982
18.0,7.0,80.0,-1.3389509487561502
18.0,7.0,160.0,-1.3372673189430784
18.0,7.0,320.0,-1.3394409695361669
18.0,8.0,20.0,-1.3339195144903213
18.0,8.0,40.0,-1.333113424148334
18.0,8.0,80.0,-1.334996634293204
18.0,8.0,160.0,-1.334350041893017
18.0,8.0,320.0,-1.338352784346691
19.0,4.0,20.0,-1.5140366758817403
19.0,4.0,40.0,-1.5140366758817403
19.0,4.0,80.0,-1.5140366758817403
19.0,4.0,160.0,-1.5140366758817403
19.0,4.0,320.0,-1.5140366758817403
19.0,5.0,20.0,-1.514933389349247
19.0,5.0,40.0,-1.514933389349247
19.0,5.0,80.0,-1.514933389349247
19.0,5.0,160.0,-1.514933389349247
19.0,5.0,320.0,-1.514933389349247
19.0,6.0,20.0,-1.5157501932046558
19.0,6.0,40.0,-1.5157501932046558
19.0,6.0,80.0,-1.5157501932046558
19.0,6.0,160.0,-1.5156684436548797
19.0,6.0,320.0,-1.517716813087033
19.0,7.0,20.0,-1.5147702127619793
19.0,7.0,40.0,-1.514933389349247
19.0,7.0,80.0,-1.514362539323705
19.0,7.0,160.0,-1.5150966272695687
19.0,7.0,320.0,-1.5164866324460542
19.0,8.0,20.0,-1.5046117572879745
19.0,8.0,40.0,-1.5030209332311861
19.0,8.0,80.0,-1.504452412401981
19.0,8.0,160.0,-1.509661284018662
19.0,8.0,320.0,-1.5167323899638279
20.0,4.0,20.0,-1.6221237745691666
20.0,4.0,40.0,-1.6221237745691666
20.0,4.0,80.0,-1.6221237745691666
20.0,4.0,160.0,-1.6221237745691666
20.0,4.0,320.0,-1.6221237745691666
20.0,5.0,20.0,-1.6221237745691666
20.0,5.0,40.0,-1.6221237745691666
20.0,5.0,80.0,-1.6221237745691666
20.0,5.0,160.0,-1.6221237745691666
20.0,5.0,320.0,-1.6221237745691666
20.0,6.0,20.0,-1.6233789618067749
20.0,6.0,40.0,-1.6233789618067749
20.0,6.0,80.0,-1.6233789618067749
20.0,6.0,160.0,-1.623798165007183
20.0,6.0,320.0,-1.624847946717034
20.0,7.0,20.0,-1.6243227386691048
20.0,7.0,40.0,-1.6246377872733475
20.0,7.0,80.0,-1.624217773234901
20.0,7.0,160.0,-1.6231695118476135
20.0,7.0,320.0,-1.6244277294787308
20.0,8.0,20.0,-1.6191052986733865
20.0,8.0,40.0,-1.6198319777895818
20.0,8.0,80.0,-1.620039823920327
20.0,8.0,160.0,-1.6202477695704112
20.0,8.0,320.0,-1.624217773234901
21.5,4.0,20.0,-2.0211618735402563
21.5,4.0,40.0,-2.0211618735402563
21.5,4.0,80.0,-2.0211618735402563
21.5,4.0,160.0,-2.0211618735402563
21.5,4.0,320.0,-2.0211618735402563
21.5,5.0,20.0,-2.0188122132628967
21.5,5.0,40.0,-2.0188122132628967
21.5,5.0,80.0,-2.0188122132628967
21.5,5.0,160.0,-2.0188122132628967
21.5,5.0,320.0,-2.0188122132628967
21.5,6.0,20.0,-2.023261186301823
21.5,6.0,40.0,-2.023261186301823
21.5,6.0,80.0,-2.0240510522035198
21.5,6.0,160.0,-2.0185519228853703
21.5,6.0,320.0,-2.0188122132628967
21.5,7.0,20.0,-2.015440546125146
21.5,7.0,40.0,-2.0159575634265683
21.5,7.0,80.0,-2.0182917884170335
21.5,7.0,160.0,-2.0185519228853703
21.5,7.0,320.0,-2.0188122132628967
21.5,8.0,20.0,-2.0034645214217424
21.5,8.0,40.0,-2.004219160155324
21.5,8.0,80.0,-2.0138931769754915
21.5,8.0,160.0,-2.0175123186022224
21.5,8.0,320.0,-2.0188122132628967
23.0,4.0,20.0,-1.1793296443192796
23.0,4.0,40.0,-1.1793296443192796
23.0,4.0,80.0,-1.1793296443192796
23.0,4.0,160.0,-1.1793296443192796
23.0,4.0,320.0,-1.1793296443192796
23.0,5.0,20.0,-2.3671066617001557
23.0,5.0,40.0,-2.3671066617001557
23.0,5.0,80.0,-2.3671066617001557
23.0,5.0,160.0,-2.3671066617001557
23.0,5.0,320.0,-2.3671066617001557
23.0,6.0,20.0,-2.374130445227118
23.0,6.0,40.0,-2.374720920480422
23.0,6.0,80.0,-2.371190051585289
23.0,6.0,160.0,-2.3717765398336406
23.0,6.0,320.0,-2.3717765398336406
23.0,7.0,20.0,-2.355647039533105
23.0,7.0,40.0,-2.3624864640634105
23.0,7.0,80.0,-2.3624864640634105
23.0,7.0,160.0,-2.3717765398336406
23.0,7.0,320.0,-2.3717765398336406
23.0,8.0,20.0,-2.3444820420750614
23.0,8.0,40.0,-2.357346824410999
23.0,8.0,80.0,-2.3624864640634105
23.0,8.0,160.0,-2.3717765398336406
23.0,8.0,320.0,-2.3717765398336406
25.0,4.0,20.0,-1.0170971726923421
25.0,4.0,40.0,-1.0170971726923421
25.0,4.0,80.0,-1.016811989904377
25.0,4.0,160.0,-1.016811989904377
25.0,4.0,320.0,-1.016811989904377
25.0,5.0,20.0,-1.4878850148829044
25.0,5.0,40.0,-1.4879616979380876
25.0,5.0,80.0,-1.4871189281047834
25.0,5.0,160.0,-1.4871189281047834
25.0,5.0,320.0,-1.4871189281047834
25.0,6.0,20.0,-2.699429015618036
25.0,6.0,40.0,-2.7224943196867293
25.0,6.0,80.0,-2.7082538805721192
25.0,6.0,160.0,-2.7082538805721192
25.0,6.0,320.0,-2.7082538805721192
25.0,7.0,20.0,-2.703189164491343
25.0,7.0,40.0,-2.725134415852938
25.0,7.0,80.0,-2.7108085613615347
25.0,7.0,160.0,-2.7108085613615347
25.0,7.0,320.0,-2.7108085613615347
25.0,8.0,20.0,-2.694465596086486
25.0,8.0,40.0,-2.7224943196867293
25.0,8.0,80.0,-2.709529342522362
25.0,8.0,160.0,-2.712091559286962
25.0,8.0,320.0,-2.712091559286962
27.0,4.0,20.0,-1.199457677846971
27.0,4.0,40.0,-1.199457677846971
27.0,4.0,80.0,-1.199457677846971
27.0,4.0,160.0,-1.199457677846971
27.0,4.0,320.0,-1.199457677846971
27.0,5.0,20.0,-3.079640257329642
27.0,5.0,40.0,-3.079640257329642
27.0,5.0,80.0,-3.0887199151815605
27.0,5.0,160.0,-3.0887199151815605
27.0,5.0,320.0,-3.0887199151815605
27.0,6.0,20.0,-3.0887199151815605
27.0,6.0,40.0,-3.0887199151815605
27.0,6.0,80.0,-3.091789146909237
27.0,6.0,160.0,-3.091789146909237
27.0,6.0,320.0,-3.091789146909237
27.0,7.0,20.0,-3.085672222099555
27.0,7.0,40.0,-3.085672222099555
27.0,7.0,80.0,-3.0887199151815605
27.0,7.0,160.0,-3.0887199151815605
27.0,7.0,320.0,-3.0887199151815605
27.0,8.0,20.0,-3.0649170005089355
27.0,8.0,40.0,-3.082645767469367
27.0,8.0,80.0,-3.085672222099555
27.0,8.0,160.0,-3.0887199151815605
27.0,8.0,320.0,-3.0887199151815605
30.0,4.0,20.0,-1.5074097986032777
30.0,4.0,40.0,-1.5074097986032777
30.0,4.0,80.0,-1.5074097986032777
30.0,4.0,160.0,-1.5074097986032777
30.0,4.0,320.0,-1.5074097986032777
30.0,5.0,20.0,-3.4928202325584166
30.0,5.0,40.0,-3.4928202325584166
30.0,5.0,80.0,-3.4928202325584166
30.0,5.0,160.0,-3.4928202325584166
30.0,5.0,320.0,-3.4928202325584166
30.0,6.0,20.0,-3.542038255228598
30.0,6.0,40.0,-3.542038255228598
30.0,6.0,80.0,-3.542038255228598
30.0,6.0,160.0,-3.542038255228598
30.0,6.0,320.0,-3.542038255228598
30.0,7.0,20.0,-3.542038255228598
30.0,7.0,40.0,-3.542038255228598
30.0,7.0,80.0,-3.542038255228598
30.0,7.0,160.0,-3.542038255228598
30.0,7.0,320.0,-3.542038255228598
30.0,8.0,20.0,-3.542038255228598
30.0,8.0,40.0,-3.542038255228598
30.0,8.0,80.0,-3.542038255228598
30.0,8.0,160.0,-3.542038255228598
30.0,8.0,320.0,-3.542038255228598
32.0,4.0,20.0,-1.1060983804327387
32.0,4.0,40.0,-1.1060983804327387
32.0,4.0,80.0,-1.1060983804327387
32.0,4.0,160.0,-1.1060983804327387
32.0,4.0,320.0,-1.1060983804327387
32.0,5.0,20.0,-1.8046865594248835
32.0,5.0,40.0,-1.8046865594248835
32.0,5.0,80.0,-1.8046865594248835
32.0,5.0,160.0,-1.8046865594248835
32.0,5.0,320.0,-1.8046865594248835
32.0,6.0,20.0,-3.4851334038921253
32.0,6.0,40.0,-3.4851334038921253
32.0,6.0,80.0,-3.4851334038921253
32.0,6.0,160.0,-3.4851334038921253
32.0,6.0,320.0,-3.4851334038921253
32.0,7.0,20.0,-3.4775802660016795
32.0,7.0,40.0,-3.4851334038921253
32.0,7.0,80.0,-3.4851334038921253
32.0,7.0,160.0,-3.4851334038921253
32.0,7.0,320.0,-3.4851334038921253
32.0,8.0,20.0,-3.4775802660016795
32.0,8.0,40.0,-3.4851334038921253
32.0,8.0,80.0,-3.4851334038921253
32.0,8.0,160.0,-3.4851334038921253
32.0,8.0,320.0,-3.4851334038921253
35.0,4.0,20.0,-1.0303152787466177
35.0,4.0,40.0,-1.0303152787466177
35.0,4.0,80.0,-1.0303152787466177
35.0,4.0,160.0,-1.0303152787466177
35.0,4.0,320.0,-1.0303152787466177
35.0,5.0,20.0,-1.508855841499403
35.0,5.0,40.0,-1.508855841499403
35.0,5.0,80.0,-1.508855841499403
35.0,5.0,160.0,-1.508855841499403
35.0,5.0,320.0,-1.508855841499403
35.0,6.0,20.0,-3.7786102616656607
35.0,6.0,40.0,-3.7786102616656607
35.0,6.0,80.0,-3.7786102616656607
35.0,6.0,160.0,-3.7786102616656607
35.0,6.0,320.0,-3.7786102616656607
35.0,7.0,20.0,-3.7638870048449546
35.0,7.0,40.0,-3.7638870048449546
35.0,7.0,80.0,-3.7638870048449546
35.0,7.0,160.0,-3.7638870048449546
35.0,7.0,320.0,-3.7638870048449546
35.0,8.0,20.0,-3.7638870048449546
35.0,8.0,40.0,-3.7638870048449546
35.0,8.0,80.0,-3.7638870048449546
35.0,8.0,160.0,-3.7638870048449546
35.0,8.0,320.0,-3.7638870048449546
40.0,4.0,20.0,-1.0258996785115237
40.0,4.0,40.0,-1.0258996785115237
40.0,4.0,80.0,-1.0258996785115237
40.0,4.0,160.0,-1.0258996785115237
40.0,4.0,320.0,-1.0258996785115237
40.0,5.0,20.0,-1.5000931830833344
40.0,5.0,40.0,-1.5000931830833344
40.0,5.0,80.0,-1.5000931830833344
40.0,5.0,160.0,-1.5000931830833344
40.0,5.0,320.0,-1.5000931830833344
40.0,6.0,20.0,-3.7638870048449546
40.0,6.0,40.0,-3.7638870048449546
40.0,6.0,80.0,-3.7638870048449546
40.0,6.0,160.0,-3.7638870048449546
40.0,6.0,320.0,-3.7638870048449546
40.0,7.0,20.0,-3.735858281244711
40.0,7.0,40.0,-3.749646565730344
40.0,7.0,80.0,-3.749646565730344
40.0,7.0,160.0,-3.749646565730344
40.0,7.0,320.0,-3.749646565730344
40.0,8.0,20.0,-3.709529342522362
40.0,8.0,40.0,-3.7224943196867293
40.0,8.0,80.0,-3.7224943196867293
40.0,8.0,160.0,-3.7224943196867293
40.0,8.0,320.0,-3.7224943196867293
